ID,Starting URL,Category,Task
937,https://www.khanacademy.org,CREATE,"From your student account, create a new playlist called ""My Favorite Courses"" by bookmarking five courses spanning subjects like math, science, and history.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
938,https://www.khanacademy.org,CREATE,"Develop a study plan in your Khan Academy profile that schedules dedicated practice sessions for Mathematics, Science, and English over the next week.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
939,https://www.khanacademy.org,CREATE,"As a teacher, create a new class section for ""AP Chemistry"" by entering the class title and inviting students using their email addresses.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
940,https://www.khanacademy.org,DELETE,"Log in, bookmark a lesson from the ""Art History"" course, then remove it from your saved items and confirm that it no longer appears.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
941,https://www.khanacademy.org,DELETE,"As a teacher, create a temporary test assignment for ""Biology Lab"" and then delete it, ensuring it is removed from your assignments list.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
942,https://www.khanacademy.org,DELETE,"Add a study plan about Math to your learning dashboard. Then remove the study plan from your learning dashboard and show your dashboard is cleared
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
948,https://www.khanacademy.org,UPDATE,"Log in to your student account and update your monthly learning goal on the progress dashboard to reflect a new target for completed exercises.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
949,https://www.khanacademy.org,UPDATE,"As a teacher, create an assignment titled ""World History Project"" then modify the existing assignment titled ""World History Project"" by extending its deadline by one week.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
950,https://www.khanacademy.org,UPDATE,"Ensure that your settings indicate daily alerts. Then adjust your notification preferences so that you receive weekly progress summaries instead of daily alerts in your account settings.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
951,https://www.khanacademy.org,UPDATE,"Edit your personal profile by adding a short bio and updating your profile picture on your Khan Academy account.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1055,https://www.loc.gov,FILE_MANIPULATION,"Locate a downloadable PDF of a historical newspaper from the digital collections section dated before 1950 and verify that the file name includes the word ""newspaper.""
Only use http://loc.gov to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1056,https://www.loc.gov,FILE_MANIPULATION,"Locate a digitized photograph from the website tagged as ""historical"" and download the image file.
Only use http://loc.gov to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1057,https://www.loc.gov,FILE_MANIPULATION,"Download a digitized manuscript related to early American literature from the catalog and verify that the preview includes the word ""manuscript.""
Only use http://loc.gov to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1548,https://www.slideshare.net,CREATE,"Log in to your account and create a private presentation titled ""Staff Training Session - Q3"" intended only for limited internal distribution.
Only use http://slideshare.net to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1549,https://www.slideshare.net,CREATE,"Create a new slideshow titled ""Startup Funding Overview"" and include a brief company bio in the description section.
Only use http://slideshare.net to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1616,https://www.springer.com/us,CREATE,"Write and submit a digital feature summary for the video abstract of the article ""The effect of climate change on sources of radionuclides to the marine environment,"" following the Springer guidelines for digital content.
Only use http://springer.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1617,https://www.springer.com/us,CREATE,"Add the article ""The effect of climate change on sources of radionuclides to the marine environment"" from the search results to your personal reading list via your Springer account.
Only use http://springer.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1618,https://www.springer.com/us,CREATE,"Create a new alert for citation exports on topics related to ""sustainable agriculture"" from your account settings.
Only use http://springer.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1619,https://www.springer.com/us,DELETE,"Go to your personal reading list and add the article ""Recent advances and challenges in experiment-oriented polymer informatics."" Then delete the article from your saved items.
Only use http://springer.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1620,https://www.springer.com/us,DELETE,"After creating a draft digital feature submission titled ""Innovative Drug Delivery Systems,"" delete the draft from your account.
Only use http://springer.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1621,https://www.springer.com/us,FILE_MANIPULATION,"Locate and download the full-text PDF of the article ""Hydrologic modeling and flood-frequency analysis under climate change scenario"" and verify that the file includes the article title in its header.
Only use http://springer.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1627,https://www.springer.com/us,UPDATE,"Log in to your Springer account, navigate to your saved alerts, and select to be alerted daily for ""machine learning"". Then change the frequency of the ""machine learning"" alert from daily to weekly.
Only use http://springer.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1628,https://www.springer.com/us,UPDATE,"Adjust your journal notification preferences in your Springer account to receive email updates about ""Online First"" articles instead of the default monthly summary.
Only use http://springer.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1632,https://stackexchange.com,CREATE,"Log in to your StackExchange account, navigate to the Stack Overflow community, and post a new question titled ""How can I optimize Python code for faster execution?"" including a detailed description and a sample code snippet.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1633,https://stackexchange.com,CREATE,"Log in and add a comment on a question in the Ask Ubuntu community, thanking the contributor for a particularly helpful answer.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1634,https://stackexchange.com,CREATE,"In the Mathematics community, create a new question titled ""What are the best strategies for solving complex combinatorics problems?"" and include a detailed problem statement.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1635,https://stackexchange.com,CREATE,"Log in, navigate to the Data Science community, and post an answer on a question about ""feature engineering techniques"" including at least two bullet points.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1636,https://stackexchange.com,CREATE,"In the Server Fault community, post a new question titled ""How to properly configure a load balancer for high traffic websites?"" and include details about your network setup.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1637,https://stackexchange.com,CREATE,"Log in, navigate to the Help Center via the site menu, and submit a feedback message regarding potential feature improvements.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1638,https://stackexchange.com,CREATE,"Log in to the StackExchange Meta site and start a new discussion titled ""Suggestions for improving site navigation,"" detailing your community ideas.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1639,https://stackexchange.com,CREATE,"In the Ask Different community, create a question titled ""Which macOS settings boost battery performance?"" and include details about my Macbook Pro M2 (256GB) model.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1640,https://stackexchange.com,CREATE,"Post an answer in the Super User community to a question regarding ""SSD vs HDD performance"" and include relevant benchmark numbers.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1641,https://stackexchange.com,CREATE,"In the Network Engineering community, create a new question titled ""What are the common pitfalls in configuring BGP?"" and add a detailed scenario with examples.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1642,https://stackexchange.com,CREATE,"Log in and post a new question in the Academia community titled ""How to balance research and teaching responsibilities?"" with contextual examples from your experience.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1643,https://stackexchange.com,CREATE,"In the Cross Validated (statistics) community, post an answer to a question on ""interpreting p-values"" that features a clear explanation and sample R code.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1644,https://stackexchange.com,CREATE,"Using the Markdown editor, log in and create a comprehensive guide titled ""How to use StackExchange effectively"" on the Meta site.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1645,https://stackexchange.com,CREATE,"Log in and post a new question in the Web Applications community titled ""What are effective strategies for increasing website engagement?"" listing at least three actionable tactics.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1646,https://stackexchange.com,CREATE,"Post an answer in the Unix & Linux community for a question on ""bash scripting best practices"" that includes example commands and expected output.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1647,https://stackexchange.com,CREATE,"Choose any StackExchange community and create a complete Q&A pair about a trending technology topic, ensuring both the question and answer are detailed.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1648,https://stackexchange.com,CREATE,"In the Role-playing Games community, post a new question titled ""How do game mechanics in tabletop RPGs balance chance and strategy?"" with examples from popular games.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1649,https://stackexchange.com,CREATE,"Log in to the Ask Ubuntu community and post a comment asking for further clarification on a technical detail in a recent question.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1650,https://stackexchange.com,CREATE,"In the Sustainable Living community, create a question titled ""What are some practical ways to reduce household energy consumption?"" and describe current challenges with energy use.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1651,https://stackexchange.com,CREATE,"On the Artificial Intelligence community page, post an answer to a question about ""building neural networks"" that includes at least one Python code snippet.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1652,https://stackexchange.com,CREATE,"In the Robotics community, create a new question titled ""How do sensor fusion techniques improve robot navigation?"" and provide examples from recent research.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1653,https://stackexchange.com,CREATE,"Log in to your account and create a new question in the Code Review community titled ""Request for feedback: My implementation of the A* algorithm,"" including a sample code snippet.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1654,https://stackexchange.com,CREATE,"In the Ask Ubuntu community, craft a guide post titled ""How to troubleshoot common boot issues in Ubuntu"" with step-by-step instructions.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1655,https://stackexchange.com,CREATE,"Post a detailed answer on the Server Fault community about ""VoIP troubleshooting"" by describing configuration examples and common issues.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1656,https://stackexchange.com,CREATE,"Log in to the Mathematics community and contribute a new answer to a question on ""set theory fundamentals,"" providing clear explanations and examples.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1657,https://stackexchange.com,DELETE,"Log in to your account, create a temporary test question in the Academia community titled ""Test Question for Deletion,"" then delete it and confirm its removal from your profile.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1658,https://stackexchange.com,DELETE,"In the Super User community, post a temporary answer labeled ""Test answer for deletion"" to an existing question and then delete it, ensuring it no longer appears in your contributions.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1659,https://stackexchange.com,DELETE,"Log in to your account, add a comment on one of your own questions in the Ask Different community, and then delete the comment to verify its removal.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1660,https://stackexchange.com,DELETE,"Create a temporary post in the Cross Validated community and delete it using available deletion options, confirming that the post is no longer visible.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1666,https://stackexchange.com,UPDATE,"Log in to your account, post a question in the Mathematics community related to fractals, then navigate to this question in the Mathematics community, and edit it to include additional context and clarification.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1667,https://stackexchange.com,UPDATE,"In the Ask Ubuntu community, post a question about ""Linux installation errors"", then locate a question you posted about ""Linux installation errors"" and update the description with specific error messages.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1668,https://stackexchange.com,UPDATE,"Edit a community wiki post on the Programming Puzzles & Code Golf site to add new optimization tips and refresh outdated content.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1669,https://stackexchange.com,UPDATE,"Log in and post a question in the Cross Validated community titled ""Statistical Significance in A/B Testing."" Then update the title of this question to ""Understanding Statistical Significance in A/B Testing.""
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1670,https://stackexchange.com,UPDATE,"In the Meta community, write a feedback post giving suggestions to improve the site, then edit your previous feedback post to add further suggestions on improving the site's user interface.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1671,https://stackexchange.com,UPDATE,"Log in to the Web Applications community and answer a question ""increasing website engagement."" Then update your answer with additional examples and an emoji.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1672,https://stackoverflow.com/questions,CREATE,"Log in and post a new question detailing an error encountered when compiling a C++ program, including a minimum reproducible example using code blocks.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1673,https://stackoverflow.com/questions,CREATE,"Register a new account and submit a self-answered question explaining how to manage state in a React application, complete with code examples.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1674,https://stackoverflow.com/questions,CREATE,"Compose a new answer for a question about Python's data types, ensuring you include well-formatted code snippets.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1675,https://stackoverflow.com/questions,CREATE,"Log in and post a new question about asynchronous programming in JavaScript, using clear code examples and appropriate tags.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1676,https://stackoverflow.com/questions,CREATE,"Provide an answer to a question regarding best practices for REST API development in Ruby on Rails, including a sample code implementation.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1677,https://stackoverflow.com/questions,CREATE,"Log in to your account and add a comment requesting clarification on a question related to Java's exception handling.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1678,https://stackoverflow.com/questions,CREATE,"Post a new question about optimizing SQL queries with proper formatting and tag it with ""database"" and ""sql"".
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1679,https://stackoverflow.com/questions,CREATE,"Write a detailed answer to a question about debugging memory leaks in C, incorporating both code and explanatory text.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1680,https://stackoverflow.com/questions,CREATE,"Log in and post a new self-answered question about using Docker for local development, complete with a step-by-step guide in your answer.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1681,https://stackoverflow.com/questions,CREATE,"Create an answer for a question on performing string manipulation in Python, ensuring that the code examples are clear and accurate.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1682,https://stackoverflow.com/questions,CREATE,"Post a question asking for recommendations on best practices for unit testing in Java, including sample code scenarios.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1683,https://stackoverflow.com/questions,CREATE,"Write an answer to a question on handling promises in JavaScript, including both an explanation and a code snippet.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1684,https://stackoverflow.com/questions,CREATE,"Log in and share a comment on a question about responsive web design, suggesting improvements and including a mini code example.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1685,https://stackoverflow.com/questions,CREATE,"Submit a new question on resolving dependency conflicts in Maven projects and list the troubleshooting steps you have already tried.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1686,https://stackoverflow.com/questions,CREATE,"Write and post an answer discussing the differences between synchronous and asynchronous function calls, supported by sample code.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1687,https://stackoverflow.com/questions,DELETE,"Log in, find a thread about CSS flexboxes and add a comment related to the thread, then remove the comment you posted, confirming its deletion from the thread.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1688,https://stackoverflow.com/questions,DELETE,"Log in, post a question regarding Python2 compatibility issues including sample synthetic code, then delete the question you posted ensuring it is no longer visible on your profile.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1689,https://stackoverflow.com/questions,DELETE,"Log in, post an answer to a question regarding Java exceptions, then remove the answer you just posted from the thread, verifying its deletion.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1690,https://stackoverflow.com/questions,DELETE,"Log in, post a question about Node.js with the tag ""node"" and then go back to delete the tag from your posted question on Node.js, ensuring that the removal is confirmed.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1696,https://stackoverflow.com/questions,UPDATE,"Log in and post a question on handling null pointer exceptions in Java, then edit your existing question on handling null pointer exceptions in Java by adding additional context in an example code snippet. 
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1697,https://stackoverflow.com/questions,UPDATE,"Find and answer a question about Python list slicing, then update your previous answer on Python's list slicing by adding new insights and updated code examples.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1698,https://stackoverflow.com/questions,UPDATE,"Log in to your account, and post a question regarding web security, then update the tags on your question about web security to also include ""sql-injection""
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1699,https://stackoverflow.com/questions,UPDATE,"Edit your profile biography to include your latest certification details and update your listed professional interests.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1729,https://www.studocu.com,CREATE,"Create a new account and then create a course name of  ""Introduction to Economics."" Ensure that a confirmation message appears.
Only use http://studocu.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1730,https://www.studocu.com,CREATE,"Create a new StudyList titled ""Fall Semester Math Resources"" and add at least three documents related to Calculus from MIT, then verify that they appear in the list.
Only use http://studocu.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1731,https://www.studocu.com,CREATE,"Write and submit a detailed review for the document ""Organic Chemistry Formulae"" that includes both a textual comment and a thumbs up.
Only use http://studocu.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1732,https://www.studocu.com,CREATE,"Assemble a new study plan by creating a ""Revision Pack"" StudyList that curates documents on key course topics and then use the site’s sharing feature to share it with a friend.
Only use http://studocu.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1733,https://www.studocu.com,CREATE,"Add a study material on ""Modern Physics"" to your favorites list by navigating to its document page and clicking the appropriate ""favorite"" option, then confirm it appears in your list.
Only use http://studocu.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1734,https://www.studocu.com,DELETE,"Log in to your account, add the document ""Sample Lecture Notes"" to your favorites list, then remove it and verify that it no longer appears in your favorites.
Only use http://studocu.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1740,https://www.studocu.com,UPDATE,"Log in to your account, create a StudyList called ""Fall Semester Math Resources,"" then navigate to your StudyList ""Fall Semester Math Resources,"" add an additional document on ""Statistics"" to the list, and confirm the update is successful.
Only use http://studocu.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2087,https://www.wikidata.org/wiki/Wikidata:Main_Page,CREATE,"Add a ""date of birth"" (P569) statement to the item for ""Marie Curie.""
Only use http://wikidata.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2088,https://www.wikidata.org/wiki/Wikidata:Main_Page,CREATE,"Identify an incorrect ""occupation"" (P106) statement on a Wikidata item.
Only use http://wikidata.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2089,https://www.wikidata.org/wiki/Wikidata:Main_Page,CREATE,"Return the correction to an incorrect ""occupation"" (P106) statement on a Wikidata item. Add a source to support the correction.
Only use http://wikidata.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2090,https://www.wikidata.org/wiki/Wikidata:Main_Page,CREATE,"Join a WikiProject, and return the name of the project.
Only use http://wikidata.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2091,https://www.wikidata.org/wiki/Wikidata:Main_Page,CREATE,"Navigate to 'Recent Changes' and return the three most recent changes that have occurred.
Only use http://wikidata.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2092,https://www.wikidata.org/wiki/Wikidata:Main_Page,CREATE,"Navigate to 'Recent Changes' and return the three most recent changes that have occurred, as well as whether each change was performed by a bot or not, and was a minor edit or not.
Only use http://wikidata.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2098,https://www.wikihow.com/Main-Page,CREATE,"Login, Goto My Profile > My Drafts > Write An Article, Create a new draft article on wikiHow titled “How to Improve Your Remote Work Setup” that includes a clear introduction and at least five sequential steps.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2099,https://www.wikihow.com/Main-Page,CREATE,"Login, Goto My Profile > My Drafts, Write a new how-to guide on wikiHow called “How to Practice Mindfulness in Daily Life,” ensuring you include a dedicated tip for breathing exercises.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2100,https://www.wikihow.com/Main-Page,CREATE,"Login, Goto My Profile > My Drafts, Compose a new article on wikiHow titled “How to Budget Your Monthly Expenses” with step-by-step instructions and practical saving tips.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2101,https://www.wikihow.com/Main-Page,DELETE,"Log in to your wikiHow account, create a test draft titled “Temporary Guide for Testing,” then delete the draft and confirm its removal from your drafts list.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2102,https://www.wikihow.com/Main-Page,DELETE,"Post a test comment in the wikiHow discussion forum about guide improvements, and then delete the comment, ensuring it no longer appears.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2108,https://www.wikihow.com/Main-Page,UPDATE,"Log in to your wikiHow account and update your profile by adding a new biography that highlights your recent how-to contributions.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2109,https://www.wikihow.com/Main-Page,UPDATE,"Log in, create a draft for “How to Improve Your Remote Work Setup”, then edit your draft article by logging in and going to My Profile > My Drafts and looking for “How to Improve Your Remote Work Setup” to add a new section on ergonomic workspace tips, then save the changes with an edit summary.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2110,https://www.wikihow.com/Main-Page,UPDATE,"Create a draft for “How to Develop a Morning Routine” on wikiHow, and update the draft with an additional final step.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2140,https://www.wordhippo.com,CREATE,"Generate a word list of 8-letter adjectives that start with ""c"" using WordHippo's advanced word list generator.
Only use http://wordhippo.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2141,https://www.wordhippo.com,CREATE,"Build a list of words that rhyme with ""occasion"" by using the rhyme tool, selecting at least 7 options.
Only use http://wordhippo.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2142,https://www.wordhippo.com,CREATE,"Generate a word list of words that have exactly 6 letters and end with ""y"" to assist in a word puzzle challenge.
Only use http://wordhippo.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2143,https://www.wordhippo.com,CREATE,"Generate a list of words that start with ""trans"" and have exactly 9 letters to help solve a crossword puzzle clue.
Only use http://wordhippo.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2144,https://www.wordhippo.com,CREATE,"Use the synonym tool to compile a list of 10 alternative words for ""intelligent"" select 2 from each Adjective suitable for a creative writing project.
Only use http://wordhippo.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2145,https://www.wordhippo.com,CREATE,"Generate a word list of adjectives that describe a ""mysterious"" atmosphere and list at least 6 options.
Only use http://wordhippo.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2146,https://www.wordhippo.com,CREATE,"Create a translation list by selecting 5 common technology-related terms and translating them into French via WordHippo.
Only use http://wordhippo.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2262,https://hinative.com,CREATE,"Log in to HiNative and post a new language question asking for clarification on the Spanish idiom “Estar como una cabra” as a beginner.
Only use https://hinative.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2263,https://hinative.com,CREATE,"Compose and submit an English translation for the French proverb “C’est la vie” along with an analysis of its meaning.
Only use https://hinative.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2264,https://hinative.com,CREATE,"Create a new question asking for cultural insights on using polite forms in Italian when addressing elders in formal settings.
Only use https://hinative.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
